Rank,Visual magnitude(mV),Proper name[8],Bayerdesignation,Distance (ly),Spectral type,Celestial Hemisphere
81,2.38,Ankaa,αPhoenicis,0077,K0.5 IIIb,Southern
82,2.39,Girtab,κScorpii,0460,B1.5 III,Southern
83,2.40 (0.7–3.0var),Enif,εPegasi,0670,K2 Ib,Northern
84,2.42 (2.31–2.74var),Scheat,βPegasi,0200,M2.5 II-IIIe,Northern
85,2.43,Sabik,ηOphiuchi,0088,"A1 IV, A1 IV",Southern
86,2.44,Phecda,γUrsae Majoris,0083,A0 Ve,Northern
87,2.45,Aludra,ηCanis Majoris,"2,000",B5 Ia,Southern
88,2.46,Alderamin,αCephei,49,A8Vn,Northern
89,2.46,Markeb,κVelorum,0540,B2 IV,Southern
90,2.47 (1.6–3.0var),Tiansi,γCassiopeiae,0610,B0.5 IVe,Northern
91,2.48,Markab,αPegasi,0140,A0 IV,Northern
92,2.48,Aljanah,εCygni,0072,K0 III-IV,Northern
93,2.50,Acrab,βScorpii,0404,"B0.5 IV-V, B1.5 V, B2 V",Southern
